Block (225, 209): dy = 8, dx = -8
Block (241, 209): dy = -8, dx = -8
Block (257, 209): dy = -8, dx = -8
Block (273, 209): dy = -6, dx = 8
Block (289, 209): dy = -8, dx = 8
Block (305, 209): dy = -8, dx = 8
Block (321, 209): dy = -7, dx = -8
Block (337, 209): dy = -3, dx = 0
Block (1, 225): dy = 8, dx = 0
Block (17, 225): dy = 0, dx = -7
Block (33, 225): dy = -7, dx = -8
Block (49, 225): dy = -8, dx = 8
Block (65, 225): dy = -8, dx = 8
Block (81, 225): dy = 8, dx = -5
Block (97, 225): dy = 8, dx = -8
Block (113, 225): dy = 8, dx = -8
Block (129, 225): dy = -8, dx = 8
Block (145, 225): dy = 0, dx = 8
Block (161, 225): dy = 6, dx = 0
Block (177, 225): dy = -8, dx = 8
Block (193, 225): dy = -8, dx = -6
Block (209, 225): dy = 8, dx = 3
Block (225, 225): dy = -8, dx = -8
Block (241, 225): dy = -8, dx = -8
Block (257, 225): dy = 3, dx = 0
Block (273, 225): dy = 5, dx = -8
Block (289, 225): dy = 8, dx = -8
Block (305, 225): dy = -8, dx = 8
Block (321, 225): dy = -8, dx = 8
Block (337, 225): dy = -6, dx = 0
Block (1, 241): dy = 8, dx = 0
Block (17, 241): dy = -8, dx = 8
Block (33, 241): dy = -8, dx = -2
Block (49, 241): dy = -3, dx = -8
Block (65, 241): dy = -8, dx = -8
Block (81, 241): dy = 8, dx = -8
Block (97, 241): dy = 8, dx = -8
Block (113, 241): dy = 6, dx = 0
Block (129, 241): dy = 7, dx = -8
Block (145, 241): dy = -7, dx = 8
Block (161, 241): dy = -3, dx = -6
Block (177, 241): dy = 5, dx = -8
Block (193, 241): dy = 8, dx = 8
Block (209, 241): dy = 8, dx = 0
Block (225, 241): dy = -8, dx = 8
Block (241, 241): dy = -8, dx = 8
Block (257, 241): dy = -8, dx = 8
Block (273, 241): dy = -8, dx = 0
Block (289, 241): dy = -8, dx = -8
Block (305, 241): dy = 8, dx = 8
Block (321, 241): dy = 8, dx = -6
Block (337, 241): dy = -8, dx = 0
Block (1, 257): dy = -8, dx = 0
